都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,医療機関の種類,住所,方書,lat,lon,電話番号,内線番号,FAX番号,法人番号,法人の名称,医療機関コード,診療曜日,診療開始時間,診療終了時間,診療日時特記事項,時間外における対応,診療科目,病床数,URL,備考
473600,0000000014,沖縄県,伊是名村,沖縄県立北部病院附属伊是名診療所,オキナワケンリツホクブビョウインフゾクイゼナシンリョウジョ,無床診療所,伊是名村字仲田1198番地,,26.92796841,127.94067566,(0980)45-2017,,,,,,,,,,,内科;外科;小児科,0,,
473600,0000000015,沖縄県,伊是名村,特別養護老人ホームチヂン園,トクベツヨウゴロウジンホームチヂンエン,無床診療所,伊是名村字仲田1687-51,,26.92240794,127.94361716,(0980)45-2273,,,,,,,,,,,内科;外科,0,,
473596,0000000016,沖縄県,伊平屋村,県立北部病院附属伊平屋診療所,ケンリツホクブビョウインフゾクイヒラヤシンリョウジョ,無床診療所,伊平屋村字我喜屋217番地,,27.03445215,127.96360251,(0980)46-2116,,,,,,,,,,,内科;外科;小児科,0,,
473014,0000000017,沖縄県,国頭村,国頭村立診療所,クニガミソンリツシンリョウジョ,無床診療所,国頭村字辺土名1437番地,,26.74530973,128.17599317,(0980)41-5380,,,,,,,,,,,内科;小児科,0,,
473014,0000000018,沖縄県,国頭村,特別養護老人ホーム北斗園医務室,トクベツヨウゴロウジンホームホクトエンイムシツ,無床診療所,国頭村字辺土名1692番地,,26.74068515,128.17486573,(0980)41-2743,,,,,,,,,,,内科,0,,
473065,0000000019,沖縄県,今帰仁村,今帰仁診療所,ナキジンシンリョウジョ,無床診療所,今帰仁村字謝名139番地,,26.68531241,127.96706345,(0980)56-3581,,,,,,,,,,,内科;小児科;整形外科;眼科;耳鼻咽喉科,0,,
473065,0000000020,沖縄県,今帰仁村,特別養護老人ホーム乙羽園医務室,トクベツヨウゴロウジンホームオトハエンイムシツ,無床診療所,今帰仁村字天底222番地,,26.67550285,127.97852133,(0980)56-3881,,,,,,,,,,,内科;外科,0,,
473022,0000000021,沖縄県,大宜味村,特別養護老人ホームやんばるの家,トクベツヨウゴロウジンホームヤンバルノイエ,無床診療所,大宜味村字津波1971-35,,26.65610822,128.10710747,(0980)44-2288,,,,,,,,,,,内科;眼科,0,,
473081,0000000022,沖縄県,本部町,特別養護老人ホーム本部園医務室,トクベツヨウゴロウジンホームホンブエンイムシツ,無床診療所,本部町字谷茶310番地,,26.65851484,127.89162286,(0980)47-3644,,,,,,,,,,,内科,0,,
473081,0000000023,沖縄県,本部町,一般財団法人健康科学財団ウェルネスセンター,イッパンザイダンホウジンケンコウカガクザイダンウェルネスセンター,無床診療所,本部町字浜元410番地,,26.67641817,127.88699801,(0980)48-3051,,,,,,,,,,,外科;内科;心療内科;小児科;整形外科;リハビリテーション科;皮膚科,0,,
472093,0000000024,沖縄県,名護市,大宮医院,オオミヤイイン,無床診療所,名護市宮里3丁目1番20号,,26.59623418,127.96656913,(0980)53-4116,,,,,,,,,,,小児科;内科;外科;肛門外科,0,,
472093,0000000025,沖縄県,名護市,医療法人樫の会　新垣耳鼻咽喉科,イリョウホウジンカシノカイ　アラカキジビインコウカ,無床診療所,名護市字宮里453-7　大宮総合開発ビル4階,,26.59366770,127.96613592,(0980)53-5586,,,,,,,,,,,耳鼻咽喉科,0,,
472093,0000000026,沖縄県,名護市,名護厚生園医務室,ナゴコウセイエンイムシツ,無床診療所,名護市宮里5丁目4番29号,,26.59996183,127.97138258,(0980)52-3283,,,,,,,,,,,内科;精神科,0,,
472093,0000000027,沖縄県,名護市,さくら眼科,サクラガンカ,無床診療所,名護市字伊差川310番1,,26.61028189,128.00154426,(0980)54-5100,,,,,,,,,,,眼科,0,,
472093,0000000028,沖縄県,名護市,伊差川整形外科,イサガワセイケイゲカ,無床診療所,名護市字伊差川309-1,,26.60973192,128.00120820,(0980)52-5656,,,,,,,,,,,整形外科;リハリビテーション科,0,,
472093,0000000029,沖縄県,名護市,メンタルクリニックやんばる,メンタルクリニックヤンバル,無床診療所,名護市宇茂佐の森1丁目2番地9,,26.60152266,127.96550238,(0980)52-4556,,,,,,,,,,,精神科;心療内科,0,,
472093,0000000030,沖縄県,名護市,公益社団法人北部地区医師会　ちゅら海クリニック,コウエキシャダンホウジンホクブチクイシカイ　チュラウミクリニック,無床診療所,名護市字宇茂佐1710-25,,26.60873603,127.96581049,(0980)51-1414,,,,,,,,,,,内科;腎臓内科（人工透析）;漢方内科;心療内科;精神科,0,,
472093,0000000031,沖縄県,名護市,平安山医院,ヘンザンイイン,無床診療所,名護市字宇茂佐1702-1　,,26.60741965,127.97112682,(0980)52-6895,,,,,,,,,,,内科;小児科,0,,
472093,0000000032,沖縄県,名護市,特別養護老人ホーム　かりゆしぬ村医務室,トクベツヨウゴロウジンホーム　カリユシヌムライムシツ,無床診療所,名護市字宇茂佐1873-1,,26.61252189,127.96620479,(0980)53-1934,,,,,,,,,,,内科,0,,
472093,0000000033,沖縄県,名護市,かじまやリゾートクリニック,カジマヤリゾートクリニック,無床診療所,名護市字宮里518番地2,,26.59488977,127.96431933,(0980)51-1197,,,,,,,,,,,婦人科;内科;小児科;外科;リハビリテーション科,0,,
472093,0000000034,沖縄県,名護市,厚生労働省第二共済組合国立療養所沖縄愛楽園診療部,コウセイロウドウショウダイニキョウサイクミアイコクリツリョウヨウジョオキナワアイラクエンシンリョウブ,無床診療所,名護市字済井出1192番地,,26.67622330,128.01896001,(0980)52-8331,,,,,,,,,,,内科;外科;皮膚科;歯科,0,,
472093,0000000035,沖縄県,名護市,医療法人中央外科,イリョウホウジンチュウオウゲカ,無床診療所,名護市城1丁目1番12号,,26.59075466,127.98201842,(0980)52-2118,,,,,,,,,,,内科;外科;整形外科;胃腸科;リハビリテーション科,0,,
472093,0000000036,沖縄県,名護市,儀保小児科内科医院,ギボショウニカナイカイイン,無床診療所,名護市大西2丁目4番32号,,26.59605968,127.97962945,(0980)53-4833,,,,,,,,,,,内科;小児科,0,,
472093,0000000037,沖縄県,名護市,沖縄県北部保健所,オキナワケンホクブホケンジョ,無床診療所,名護市大中2丁目13番1号,,26.59342136,127.98774025,(0980)52-2714,,,,,,,,,,,内科,0,,
472093,0000000038,沖縄県,名護市,医療法人運天産婦人科医院,イリョウホウジンウンテンサンフジンカイイン,有床診療所,名護市大中3丁目1番5号,,26.59514353,127.98984285,(0980)53-0131,,,,,,,,,,,産科;婦人科;内科;小児科,0,,
472093,0000000039,沖縄県,名護市,なかち泌尿器科クリニック,ナカチヒニョウキカクリニック,無床診療所,名護市大中5丁目4番50号,,26.59701015,127.99201488,(0980)53-3335,,,,,,,,,,,泌尿器科;皮膚科;外科;内科;整形外科;リハビリテーション科;小児科;性病科;リウマチ科,0,,
472093,0000000040,沖縄県,名護市,名嘉眞皮膚科,ナカマヒフカ,無床診療所,名護市大東1丁目10番13号,,26.58839946,127.98582664,(0980)52-4755,,,,,,,,,,,皮膚科,0,,
472093,0000000041,沖縄県,名護市,社会福祉法人五和会　名護療育医療センター附属　育ちのクリニック,シャカイフクシホウジンイカズエ　ナゴリョウイクイリョウセンターフゾク　ソダチノクリニック,無床診療所,名護市大東2丁目23番30号,,26.59120762,127.98723758,(0980)53-3366,,,,,,,,,,,小児科;内科;皮膚科;児童精神科;精神科,0,,
472093,0000000042,沖縄県,名護市,北部山里クリニック,ホクブヤマザトクリニック,無床診療所,名護市大南2丁目12番26号,,26.59413188,127.97590472,(0980)52-1119,,,,,,,,,,,内科;糖尿病内科;脂質代謝内科;腎臓内科;心療内科;老年内科;外科;小児科;精神科,0,,
472093,0000000043,沖縄県,名護市,名護皮ふ科,ナゴヒフカ,無床診療所,名護市大北1丁目2番34号,,26.60017674,127.99520068,(0980)50-9480,,,,,,,,,,,皮膚科,0,,
472093,0000000044,沖縄県,名護市,赤嶺内科,アカミネナイカ,無床診療所,名護市大北1丁目5番11号,,26.59877672,127.99259533,(0980)54-6200,,,,,,,,,,,内科;呼吸器科;胃腸科;循環器科;小児科,0,,
472093,0000000045,沖縄県,名護市,北部皮フ科クリニック,ホクブカワフカクリニック,無床診療所,名護市大北3丁目9番7号,,26.60319874,127.99452002,(0980)54-4912,,,,,,,,,,,皮膚科,0,,
472093,0000000046,沖縄県,名護市,崎山クリニック,サキヤマクリニック,無床診療所,名護市大北4丁目26番10号,,26.60662045,127.98852856,(0980)54-3776,,,,,,,,,,,内科,0,,
472093,0000000047,沖縄県,名護市,医療法人美ら海ハシイ産婦人科,イリョウホウジンチュラウミハシイサンフジンカ,有床診療所,名護市大北5丁目3番4号,,26.60413982,127.98311509,(0980)54-4188,,,,,,,,,,,産科;婦人科,0,,
472093,0000000048,沖縄県,名護市,ゆうクリニック,ユウクリニック,無床診療所,名護市宇茂佐の森1丁目1番地5,,26.60106439,127.96648010,(0980)54-8010,,,,,,,,,,,内科;外科;小児科,0,,
472093,0000000049,沖縄県,名護市,地域密着型介護老人福祉施設　瑞穂の郷,チイキミッチャクガタカイゴロウジンフクシシセツ　ミズホノゴウ,無床診療所,名護市字親川571番地,,26.61650701,128.01510689,(0980)58-1631,,,,,,,,,,,内科;外科,0,,
472093,0000000050,沖縄県,名護市,スポーク・クリニック,スポーク・クリニック,無床診療所,名護市字屋部117番地,,26.60175004,127.95256161,(0980)52-7775,,,,,,,,,,,内科;整形外科;リハビリテーション科;精神科,0,,
472093,0000000051,沖縄県,名護市,ひだか脳神経外科,ヒダカノウシンケイゲカ,無床診療所,名護市字宇茂佐1746-6,,26.60586956,127.96524394,(0980)54-2828,,,,,,,,,,,脳神経外科;外科;整形外科;内科;リハビリテーション科;放射線科,0,,
473081,0000000052,沖縄県,本部町,やまだクリニック　,ヤマダクリニック　,無床診療所,本部町字大浜874番15,,26.65485389,127.88485955,(0980)47-6660,,,,,,,,,,,内科;外科;小児科,0,,
472093,0000000053,沖縄県,名護市,大兼久医院,オオガネクイイン,無床診療所,名護市城1丁目1番13号,,26.59056023,127.98208787,(0980)53-1297,,,,,,,,,,,内科,0,,
473014,0000000054,沖縄県,国頭村,国頭村立東部へき地診療所,クニガミソンリツトウブヘキチシンリョウジョ,無床診療所,国頭村字安田170番地,,26.74550500,128.31709807,(0980)41-7511,,,,,,,,,,,内科,0,,
472093,0000000055,沖縄県,名護市,たいようのクリニック,タイヨウノクリニック,無床診療所,名護市大西3丁目15番1号,,26.59777927,127.98538741,(0980)54-0700,,,,,,,,,,,内科;腎臓内科;糖尿病内科;人工透析内科;リウマチ科,0,,
472093,0000000056,沖縄県,名護市,やんばる協同クリニック,ヤンバルキョウドウクリニック,無床診療所,名護市大北5丁目3-2,,26.60424261,127.98343728,(0980)52-1001,,,,,,,,,,,内科,0,,
473031,0000000057,沖縄県,東村,東村立診療所,ヒガシソンリツシンリョウジョ,無床診療所,東村字平良804番地,,26.63297316,128.15609458,(0980)51-2200,,,,,,,,,,,内科;外科,0,,
472093,0000000058,沖縄県,名護市,あがりえクリニック,アガリエクリニック,無床診療所,名護市大東1丁目5番34号,,26.58819398,127.98755157,(0980)43-0271,,,,,,,,,,,内科;消化器科;小児科,0,,
473022,0000000059,沖縄県,大宜味村,大宜味村立診療所 ,オオギミソンリツシンリョウジョ ,無床診療所,大宜味村字塩屋1306番地62,,26.67779471,128.10111290,(0980)50-5450,,,,,,,,,,,内科;小児科;心療内科;精神科;外科;眼科;消化器内科;皮膚科,0,,
472093,0000000060,沖縄県,名護市,みみ・はな・のど　ゆいクリニック ,ミミ・ハナ・ノド　ユイクリニック ,無床診療所,名護市大北5丁目22番25号,,26.60710065,127.98142897,(0980)51-1187,,,,,,,,,,,耳鼻咽喉科;小児科;内科,0,,
472093,0000000061,沖縄県,名護市,アイクリニック敬愛,アイクリニックケイアイ,無床診療所,名護市宮里6丁目4番21号,,26.60301727,127.97364900,(0980)54-0037,,,,,,,,,,,眼科,0,,
472093,0000000062,沖縄県,名護市,名護市屋我地診療所,ナゴシヤガジシンリョウジョ,無床診療所,名護市字饒平名460番1,,26.65801412,128.01715522,(0980)52-8887,,,,,,,,,,,内科;小児科,0,,
472093,0000000063,沖縄県,名護市,医療法人桜風会　おおにし医院,イリョウホウジンサクラフウカイ　オオニシイイン,無床診療所,名護市城2丁目10番16号,,26.58713840,127.98480730,(0980)43-0200,,,,,,,,,,,内科;胃腸内科,0,,
472093,0000000064,沖縄県,名護市,たいら内科クリニック,タイラナイカクリニック,無床診療所,名護市宮里6丁目8番7号,,26.60157580,127.97605725,(0980)53-0033,,,,,,,,,,,内科;血液内科,0,,
472093,0000000065,沖縄県,名護市,ちはる眼科,チハルガンカ,無床診療所,名護市宮里6丁目8番7号,,26.60157580,127.97605725,(0980)43-5513,,,,,,,,,,,眼科,0,,
473022,0000000066,沖縄県,大宜味村,社会福祉法人一心福祉会　障害者支援施設　一心福祉会「医務室」,シャカイフクシホウジンイッシンフクシカイ　ショウガイシャシエンシセツ　イッシンフクシカイ「イムシツ」,無床診療所,大宜味村字津波1971番地35,,26.65610822,128.10710747,(0980)44-2234,,,,,,,,,,,内科;外科,0,,
472093,0000000067,沖縄県,名護市,北部形成・外科診療所,ホクブケイセイ・ゲカシンリョウジョ,無床診療所,名護市大南2丁目13-8,,26.59483180,127.97553527,(0980)53-7008,,,,,,,,,,,形成外科;外科;皮膚科,0,,
472093,0000000068,沖縄県,名護市,名護市久志診療所,ナゴシクシシンリョウジョ,無床診療所,名護市三原64番地7,,26.55812986,128.07095995,(0980)55-8886,,,,,,,,,,,内科;循環器内科;整形外科,0,,
472093,0000000069,沖縄県,名護市,うりずん診療所,ウリズンシンリョウジョ,無床診療所,名護市字為又69番地,,26.60650869,127.97340448,(0980)54-6633,,,,,,,,,,,整形外科;リハビリテーション科;内科;小児科,0,,
472093,0000000070,沖縄県,名護市,社会福祉法人名護学院　クリニック和睦,シャカイフクシホウジンナゴガクイン　クリニックワボク,無床診療所,名護市大東1丁目15-6,,26.58994378,127.98595158,(0980)43-0418,,,,,,,,,,,内科;心療内科;小児科;精神科,0,,
472093,0000000071,沖縄県,名護市,あしとみ泌尿器科クリニック,アシトミヒニョウキカクリニック,無床診療所,名護市宮里5-10-17,,26.59843700,127.97343804,(0980)52-2222,,,,,,,,,,,泌尿器科,0,,
472093,0000000072,沖縄県,名護市,カヌチャＫＩＮ　クリニック,カヌチャＫＩＮ　クリニック,無床診療所,名護市字安部156番地2,,26.55009156,128.07670147,,,,,,,,,,,,内科,0,,
472093,0000000073,沖縄県,名護市,あき内科クリニック,アキナイカクリニック,無床診療所,名護市字宇茂佐919番地7　センタービル1F,,26.59685908,127.96478313,(0980)45-0088,,,,,,,,,,,内科;リウマチ科;腎臓内科,0,,
472093,0000000074,沖縄県,名護市,久辺の里医務室,ヒサヘンノサトイムシツ,無床診療所,名護市字豊原216番地,,26.52124835,128.02215124,(0980)55-2525,,,,,,,,,,,内科,0,,
473081,0000000075,沖縄県,本部町,やんばるキッズファミリークリニック,ヤンバルキッズファミリークリニック,無床診療所,本部町渡久地846-1,,26.66355042,127.89224217,(0980)43-7818,,,,,,,,,,,小児科;アレルギー科;内科,0,,
473022,0000000076,沖縄県,大宜味村,召団沖縄クリニック,ショウダンオキナワクリニック,無床診療所,大宜味村字津波1971-195,,26.63862927,128.10008597,,,,,,,,,,,,精神科,0,,
472093,0000000077,沖縄県,名護市,オアシス歯科医院,オアシスシカイイン,無床診療所,名護市東江1丁目25番14号　メゾンロイヤル1Ｆ,,26.58389985,127.98646567,(0980)51-0777,,,,,,,,,,,歯科;小児歯科,0,,
473154,0000000078,沖縄県,伊江村,伊江歯科医院,イエシカイイン,無床診療所,伊江村字東江前459番地,,26.71199072,127.80663652,(0980)49-2214,,,,,,,,,,,歯科;小児歯科,0,,
473600,0000000079,沖縄県,伊是名村,伊是名村立歯科診療所,イゼナソンリツシカシンリョウジョ,無床診療所,伊是名村字仲田1199- 1,,26.92755734,127.94051734,(0980)45-2612,,,,,,,,,,,歯科,0,,
473596,0000000080,沖縄県,伊平屋村,伊平屋村立歯科診療所,イヘヤソンタチシカシンリョウジョ,無床診療所,伊平屋村字我喜屋217-3,,27.03456325,127.96381082,(0980)46-2853,,,,,,,,,,,歯科;小児歯科;矯正歯科,0,,
473022,0000000081,沖縄県,大宜味村,大宜味村立歯科診療所,オオギミソンリツシカシンリョウジョ,無床診療所,大宜味村字塩屋987-3,,26.67514505,128.10351281,(0980)44-3840,,,,,,,,,,,歯科;小児歯科,0,,
472093,0000000082,沖縄県,名護市,がなは歯科医院,ガナハシカイイン,無床診療所,名護市大西1丁目1番1号　神山ビル2Ｆ,,26.59158791,127.98192951,(0980)54-5555,,,,,,,,,,,歯科;小児歯科,0,,
473014,0000000083,沖縄県,国頭村,国頭村立辺土名歯科診療所,クニガミソンリツヘントナシカシンリョウジョ,無床診療所,国頭村字辺土名1458番地,,26.74610131,128.17541819,(0980)41-5360,,,,,,,,,,,歯科,0,,
472093,0000000084,沖縄県,名護市,名嘉真歯科医院,ナカマシカイイン,無床診療所,名護市大東1丁目11番15号,,26.58819946,127.98549334,(0980)53-7888,,,,,,,,,,,歯科,0,,
472093,0000000085,沖縄県,名護市,ながた歯科医院,ナガタシカイイン,無床診療所,名護市宮里1丁目28番8号　 南西ビル3Ｆ,,26.59369844,127.97273269,(0980)53-4865,,,,,,,,,,,歯科;小児歯科;矯正歯科,0,,
472093,0000000086,沖縄県,名護市,羽地歯科医院,ハネジシカイイン,無床診療所,名護市字伊差川313番地1,,26.60986529,128.00235255,(0980)53-5356,,,,,,,,,,,歯科,0,,
473031,0000000087,沖縄県,東村,東村歯科診療所,ヒガシソンシカシンリョウジョ,無床診療所,東村字平良550番地,,26.63073717,128.15293655,(0980)43-2744,,,,,,,,,,,歯科;小児歯科,0,,
473065,0000000088,沖縄県,今帰仁村,北山歯科医院,キタヤマシカイイン,無床診療所,今帰仁村仲宗根279番地4,,26.68175759,127.97601293,(0980)56-5655,,,,,,,,,,,歯科,0,,
472093,0000000089,沖縄県,名護市,宮里歯科医院,ミヤザトシカイイン,無床診療所,名護市大東3丁目21番22号,,26.59248809,127.98779861,(0980)53-6974,,,,,,,,,,,歯科,0,,
473081,0000000090,沖縄県,本部町,本部マリン歯科,ホンブマリンシカ,無床診療所,本部町字渡久地799番地1,,26.66225607,127.89110617,(0980)47-6363,,,,,,,,,,,歯科,0,,
472093,0000000091,沖縄県,名護市,医療法人社団和洸会　役所前歯科医院,イリョウホウジンシャダンカズヒロシカイ　ヤクショマエシカイイン,無床診療所,名護市字宮里445-6　大瀬産業ビル1F　101号,,26.59576752,127.96595808,(0980)52-5072,,,,,,,,,,,歯科;小児歯科;矯正歯科,0,,
472093,0000000092,沖縄県,名護市,やんばる歯科医院,ヤンバルシカイイン,無床診療所,名護市大北1丁目23番2号,,26.59846561,127.99203704,(0980)54-0221,,,,,,,,,,,歯科;小児歯科,0,,
472093,0000000093,沖縄県,名護市,とおる歯科,トオルシカ,無床診療所,名護市大南1丁目10番12号　南進ビル2F,,26.59249322,127.97799357,(0980)54-5333,,,,,,,,,,,歯科,0,,
472093,0000000094,沖縄県,名護市,ハート歯科,ハートシカ,無床診療所,名護市大北5丁目2番3号,,26.60381770,127.98480945,(0980)54-8822,,,,,,,,,,,歯科;小児歯科;矯正歯科;歯科口腔外科,0,,
472093,0000000095,沖縄県,名護市,あらさき歯科クリニック,アラサキシカクリニック,無床診療所,名護市大北5丁目22番25号,,26.60710065,127.98142897,(0980)51-0648,,,,,,,,,,,歯科;小児歯科;矯正歯科;歯科口腔外科,0,,
472093,0000000096,沖縄県,名護市,歯科口腔外科クリニック,シカコウクウゲカクリニック,無床診療所,名護市城1丁目1番19号,,26.59086853,127.98177676,(0980)52-2155,,,,,,,,,,,歯科;小児歯科;歯科口腔外科,0,,
473065,0000000097,沖縄県,今帰仁村,おっぱ歯科医院,オッパシカイイン,無床診療所,今帰仁村字謝名621番地1,,26.68644833,127.96598569,(0980)56-1184,,,,,,,,,,,歯科;小児歯科,0,,
472093,0000000098,沖縄県,名護市,こうげん歯科医院,コウゲンシカイイン,無床診療所,名護市宮里1丁目1番52号,,26.59671761,127.97139656,(0980)52-5380,,,,,,,,,,,歯科;小児歯科;矯正歯科;歯科口腔外科,0,,
472093,0000000099,沖縄県,名護市,なごみの森歯科,ナゴミノモリシカ,無床診療所,名護市字名護4558-53,,26.60881215,127.99278655,(0980)52-0737,,,,,,,,,,,歯科;小児歯科;矯正歯科;歯科口腔外科,0,,
473081,0000000100,沖縄県,本部町,らいおん歯科,ライオンシカ,無床診療所,本部町字渡久地231番地,,26.66098701,127.89766402,(0980)47-7855,,,,,,,,,,,歯科;小児歯科,0,,
472093,0000000101,沖縄県,名護市,おおきた歯科,オオキタシカ,無床診療所,名護市大北1丁目1番34号　1Ｆ,,26.60062396,127.99569508,(0980)52-8750,,,,,,,,,,,歯科;小児歯科,0,,
472093,0000000102,沖縄県,名護市,とよはら歯科医院,トヨハラシカイイン,無床診療所,名護市字豊原169番地1,,26.51919027,128.02415951,(0980)55-3905,,,,,,,,,,,歯科;小児歯科;矯正歯科;歯科口腔外科,0,,
472093,0000000103,沖縄県,名護市,くまがい歯科クリニック,クマガイシカクリニック,無床診療所,名護市宇茂佐の森4丁目7番地10,,26.60041713,127.96384419,(0980)43-8890,,,,,,,,,,,歯科;小児歯科;歯科口腔外科,0,,
472093,0000000104,沖縄県,名護市,キラリ・デンタルケアクリニック,キラリ・デンタルケアクリニック,無床診療所,名護市城2丁目10番20号　1Ｆ,,26.58742171,127.98460174,(0980)54-5046,,,,,,,,,,,歯科;小児歯科,0,,
472093,0000000105,沖縄県,名護市,あさと歯科医院,アサトシカイイン,無床診療所,名護市宮里7丁目4番14号,,26.60283983,127.98118469,(0980)54-6480,,,,,,,,,,,歯科;小児歯科;口腔外科,0,,
472093,0000000106,沖縄県,名護市,グリーンデンタルクリニック,グリーンデンタルクリニック,無床診療所,名護市大西4丁目4番14号,,26.60083698,127.97658502,(0980)53-4562,,,,,,,,,,,歯科;小児歯科;矯正歯科;歯科口腔外科,0,,
473014,0000000107,沖縄県,国頭村,のと歯科,ノトシカ,無床診療所,国頭村字辺土名2141-1,,26.74610122,128.17214909,(0980)41-2577,,,,,,,,,,,歯科;小児歯科,0,,
472093,0000000108,沖縄県,名護市,よなみね歯科,ヨナミネシカ,無床診療所,名護市宮里6丁目1番8号  　真栄田ビル1F,,26.60360894,127.97462671,(0980)53-6688,,,,,,,,,,,歯科;小児歯科,0,,
472093,0000000109,沖縄県,名護市,まきや歯科医院,マキヤシカイイン,無床診療所,名護市大東1丁目18番11号　1Ｆ,,26.58914659,127.98516554,(0980)54-4618,,,,,,,,,,,歯科;小児歯科,0,,
472093,0000000110,沖縄県,名護市,ひで歯科クリニック,ヒデシカクリニック,無床診療所,名護市字伊差川514-1F,,26.61532065,128.00686032,(0980)52-1118,,,,,,,,,,,歯科;小児歯科;歯科口腔外科,0,,
473081,0000000111,沖縄県,本部町,金城歯科医院 ,キンジョウシカイイン ,無床診療所,本部町字渡久地142番地1,,26.66006479,127.89494202,(0980)47-2648,,,,,,,,,,,歯科,0,,
473081,0000000112,沖縄県,本部町,医療法人社団幸悠会　もとぶ歯科医院,イリョウホウジンシャダンユキユウカイ　モトブシカイイン,無床診療所,本部町字大浜858番8,,26.65370952,127.88313747,(0980)47-5432,,,,,,,,,,,歯科;小児歯科,0,,
472093,0000000113,沖縄県,名護市,医療法人社団幸悠会　名護カムカム歯科医院,イリョウホウジンシャダンユキユウカイ　ナゴカムカムシカイイン,無床診療所,名護市字伊佐川7番地,,26.59153494,127.97737142,(0980)54-5511,,,,,,,,,,,歯科;小児歯科;歯科口腔外科,0,,
